Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
10000,1.4189383,0.0423983,-0.36217833,2656.6666666666665,-540.3333333333334,-540.3333333333334,0.0,1.0
20000,1.433549,-0.71377283,-0.31132698,2999.0,-772.6666666666666,-772.6666666666666,11.557358798881372,1.0
30000,1.4366387,-1.567732,-0.2039773,2936.75,-781.75,-781.75,11.682610473129898,1.0
40000,1.452361,-1.9331766,-0.11594131,2999.0,-827.0,-827.0,9.615617181484899,1.0
50000,1.4696388,-2.480892,-0.055457573,2222.25,-615.25,-615.25,4.922877304488793,1.0
60000,1.4849432,-2.7387996,0.027302364,2098.8,-568.8,-568.8,4.755206380784512,1.0
70000,1.5021251,-3.6521661,0.23694524,1513.3333333333333,-404.8333333333333,-404.8333333333333,49.60213441029191,1.0
80000,1.5149267,-3.4884708,0.1350245,1007.3846153846154,-259.3076923076923,-259.3076923076923,3.1892444271271905,1.0
90000,1.5245974,-3.664811,0.1990307,621.4375,-146.6875,-146.6875,1.2646051596384495,1.0
100000,1.5392332,-3.987379,0.17717852,621.5,-143.5625,-143.5625,1.0369657903793268,1.0
110000,1.5613611,-4.0988297,0.17591,533.5263157894736,-118.0,-118.0,0.780123389178985,1.0
120000,1.5812389,-4.547677,0.17853394,639.9333333333333,-138.93333333333334,-138.93333333333334,0.9361366476863623,1.0
130000,1.5977571,-5.0863795,0.17943409,762.0,-178.42857142857142,-178.42857142857142,1.1956060455579842,1.0
140000,1.6126816,-5.236949,0.19292496,633.2857142857143,-142.07142857142858,-142.07142857142858,1.5323355801935707,1.0
150000,1.6189818,-5.639759,0.18815514,866.5,-206.33333333333334,-206.33333333333334,1.1760059051060427,1.0
160000,1.6298038,-5.5091057,0.19440855,741.2142857142857,-153.42857142857142,-153.42857142857142,2.6222269480515803,1.0
170000,1.6415117,-5.856063,0.17552972,723.1428571428571,-146.35714285714286,-146.35714285714286,0.9040435560912427,1.0
180000,1.6534351,-6.0354004,0.16107605,603.5,-120.8125,-120.8125,0.8266580569616053,1.0
190000,1.6686037,-5.9218307,0.15091313,481.8095238095238,-87.42857142857143,-87.42857142857143,0.6724750189709344,1.0
200000,1.6830089,-6.2628307,0.16031957,737.4285714285714,-133.57142857142858,-133.57142857142858,1.035789001999157,1.0
210000,1.6933619,-6.4833117,0.1520205,726.2142857142857,-128.07142857142858,-128.07142857142858,0.8669819737385426,1.0
220000,1.7027092,-6.67789,0.14004588,680.9166666666666,-121.08333333333333,-121.08333333333333,0.7779712360352278,1.0
230000,1.7098724,-6.8055716,0.14946045,1158.0,-207.0,-207.0,1.3094757654600673,1.0
240000,1.7146056,-7.0785475,0.15071782,1404.2857142857142,-251.57142857142858,-251.57142857142858,1.566684909963182,1.0
250000,1.7249366,-6.484989,0.12541068,1111.6,-146.5,-146.5,1.2151089366525412,1.0
260000,1.7344227,-7.084344,0.13688025,925.6,-137.0,-137.0,1.1405855186283589,1.0
270000,1.7410356,-7.1939454,0.14244641,1090.6,-161.0,-161.0,1.24965255279094,1.0
280000,1.7456174,-6.7738743,0.13777182,1054.888888888889,-142.66666666666666,-142.66666666666666,1.2247301469970908,1.0
290000,1.7544591,-7.053815,0.13054553,1123.375,-145.625,-145.625,1.0516320457099937,1.0
